Reads 100 times per second during 10 seconds (10000 readings)
1. Rotate on X axis, first go down and then go up, finish at the original position
2. Rotate on Y axis, first go left and then go right, finish at the original position
3. Rotate on Z axis, first turn it like it was to touch your right shoulder, then do the
	same for the left shoulder, finish at the original position

%BEGIN%
x = 0.173269, y = 0.0810978, z = -0.000772848, w = 0.98153
x = -0.994373, y = 0.0464018, z = -0.0378315, w = -0.0873956
x = -0.994176, y = 0.0722561, z = -0.0497449, w = 0.0625972
x = -0.786448, y = -0.00756884, z = -0.0291474, w = -0.616922
x = 0.71534, y = 0.02415, z = 0.0280922, w = 0.697794
x = -0.995654, y = 0.0478786, z = -0.0692354, w = 0.0398402
x = 0.776745, y = 0.0319277, z = 0.0410708, w = 0.627663
x = 0.799554, y = -0.0693331, z = 0.0561376, w = -0.593931
x = -0.075148, y = -0.0808823, z = 0.0116869, w = -0.993818
x = 0.346251, y = -0.0864686, z = 0.0111527, w = -0.934082
x = -0.51756, y = -0.0592023, z = 0.00583928, w = -0.853576
x = 0.914116, y = -0.0525488, z = -0.0168007, w = -0.401682
x = 0.484216, y = -0.0874697, z = -0.00538898, w = -0.870549
x = 0.927857, y = -0.0495289, z = -0.000751522, w = -0.369631
x = 0.187439, y = -0.0858407, z = 0.00714527, w = -0.978492
x = -0.301797, y = 0.0807698, z = -0.00926232, w = 0.949899
x = -0.362359, y = 0.0787636, z = -0.0040959, w = 0.928695
x = 0.071684, y = 0.0809842, z = -0.00263407, w = 0.994131
x = 0.996894, y = -0.00979913, z = -0.0456563, w = 0.0634255
x = 0.153275, y = 0.0794708, z = -0.00606021, w = 0.984964
x = 0.892501, y = 0.0442265, z = -0.0893883, w = 0.439882
x = 0.976193, y = 0.0466791, z = -0.130133, w = 0.167132
x = 0.920348, y = 0.0351202, z = -0.148827, w = -0.359968
x = 0.586104, y = 0.121316, z = -0.0841872, w = 0.796666
x = 0.205095, y = -0.0301399, z = -0.047021, w = -0.977147
x = 0.484663, y = 0.180394, z = -0.0759977, w = 0.852516
x = -0.685846, y = -0.252747, z = 0.142809, w = -0.667338
x = -0.431092, y = -0.0942212, z = 0.146483, w = 0.885339
x = 0.254942, y = 0.150681, z = -0.0725007, w = 0.952388
x = -0.856379, y = -0.339334, z = 0.363232, w = -0.13975
x = -0.505724, y = -0.166054, z = 0.268946, w = 0.802706
x = -0.819281, y = -0.36596, z = 0.431978, w = 0.0908134
x = 0.563874, y = 0.299099, z = -0.362142, w = -0.679293
x = 0.565251, y = 0.44737, z = -0.462919, w = -0.515808
x = -0.474544, y = -0.647635, z = 0.571849, w = -0.168424
x = 0.258281, y = 0.495139, z = -0.366264, w = 0.744298
x = 0.0790179, y = 0.143848, z = -0.0358444, w = 0.985789
x = -0.659454, y = -0.496454, z = 0.208009, w = -0.524772
x = 0.626464, y = 0.2582, z = -0.0554455, w = 0.73335
x = 0.517809, y = 0.145366, z = -0.0227421, w = 0.842749
x = -0.360453, y = 0.0253645, z = 0.0350927, w = 0.931772
x = 0.105713, y = 0.0654888, z = 0.0161973, w = 0.992106
x = 0.105249, y = -0.0587568, z = -0.0170488, w = -0.992562
x = 0.452262, y = -0.0331155, z = 0.0334452, w = -0.890643
x = 0.188509, y = -0.0420601, z = 0.0273469, w = -0.980789
x = -0.76281, y = -0.173058, z = -0.366524, w = -0.503817
x = -0.228223, y = -0.0368031, z = -0.136749, w = 0.963255
x = -0.090885, y = 0.0101268, z = -0.0493447, w = 0.994587
x = 0.656823, y = 0.419857, z = 0.368666, w = 0.506349
x = -0.365912, y = -0.350286, z = -0.196326, w = -0.839562
x = -0.506722, y = -0.650623, z = -0.243466, w = 0.510535
x = 0.209855, y = 0.534979, z = 0.124197, w = 0.808909
x = -0.12207, y = -0.247332, z = -0.0131814, w = 0.96112
x = -0.568087, y = -0.816464, z = -0.0904825, w = 0.0497617
x = -0.216952, y = -0.246648, z = -0.00317637, w = 0.944503
x = 0.536527, y = 0.787687, z = 0.0239039, w = 0.301855
x = -0.102478, y = -0.272832, z = 0.0153862, w = 0.956464
x = 0.0847538, y = -0.725778, z = -0.00520944, w = -0.682668
x = 0.354454, y = -0.767672, z = 0.0481366, w = 0.531719
x = 0.29003, y = -0.58095, z = 0.0358181, w = -0.759669
x = -0.175175, y = 0.222236, z = -0.0560703, w = -0.957487
x = -0.304731, y = 0.438296, z = -0.132055, w = -0.835223
x = -0.460383, y = 0.81166, z = -0.213839, w = 0.289012
x = -0.351116, y = 0.644348, z = -0.181601, w = -0.654641
x = 0.333558, y = -0.736346, z = 0.18329, w = 0.559409
x = 0.196801, y = -0.602353, z = 0.104755, w = -0.766464
x = -0.00923009, y = 0.125565, z = 0.00223671, w = 0.99204
x = -0.218369, y = 0.650087, z = -0.119421, w = -0.717942
x = 0.261857, y = -0.90978, z = 0.0978493, w = 0.306848
x = -0.253647, y = 0.960705, z = -0.0641856, w = -0.0926833
x = -0.0563306, y = 0.358107, z = 0.0132065, w = 0.931886
x = 0.169032, y = -0.810822, z = -0.0460654, w = -0.558457
x = -0.215302, y = 0.866872, z = 0.0514977, w = -0.446684
x = 0.231827, y = -0.962553, z = -0.104255, w = 0.0942255
x = -0.197656, y = 0.752828, z = 0.0767368, w = -0.623132
x = 0.0844389, y = -0.217217, z = -0.000633246, w = 0.972464
x = 0.182209, y = -0.781622, z = -0.0541698, w = -0.594082
x = 0.0326697, y = -0.238426, z = -0.0228226, w = -0.970343
x = -0.0377861, y = 0.0298757, z = -0.0176677, w = -0.998683
x = -0.14931, y = 0.496214, z = 1.55913e-05, w = -0.855265
x = 0.109849, y = -0.624341, z = -0.0665134, w = -0.770524
x = 0.165303, y = -0.950863, z = -0.126752, w = -0.22906
x = -0.142307, y = 0.718557, z = 0.0971542, w = -0.673784
x = 0.0162963, y = -0.35371, z = -0.100365, w = -0.929812
x = 0.140202, y = -0.831687, z = -0.141235, w = 0.518356
x = 0.00818492, y = 0.299892, z = 0.100001, w = 0.948682
x = 0.0762271, y = -0.969502, z = -0.229701, w = -0.0386325
x = 0.0564657, y = 0.0590623, z = 0.0654218, w = 0.994507
